saved,run_dir,backbone,stage,best_epoch,val_acc,image_size,epochs,ext_ratio,ext_source,sketch_prob,grayscale,train_on_all,val_leaked
2026-09-10 08:57,_root_cache_stepA,convnext_tiny.in12k_ft_in1k,base,9,97.89,192,16,0.25,painting+inr_v1,0.0,0.0,False,
2026-09-10 08:57,_root_cache_stepA,convnext_tiny.in12k_ft_in1k,pseudo1,16,99.93,192,16,0.35,painting+inr_v1,0.0,0.0,True,YES
2026-09-10 08:57,_root_cache_stepA,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,base,16,98.59,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 08:57,_root_cache_stepA,vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,pseudo1,6,98.17,192,16,0.25,painting+inr_v1_distil2,0.0,0.0,False,
2026-09-10 09:24,(root/latest),convnextv2_base.fcmae_ft_in22k_in1k,base,6,98.8,192,16,0.25,painting+inr_stepB,0.0,0.0,False,
2026-09-10 10:11,(root/latest),convnextv2_base.fcmae_ft_in22k_in1k,pseudo1,6,98.94,192,16,0.25,painting+inr_stepB,0.0,0.0,False,
2026-09-10 10:13,B_cnv2,convnextv2_base.fcmae_ft_in22k_in1k,base,6,98.8,192,16,0.25,painting+inr_stepB,0.0,0.0,False,
2026-09-10 10:13,B_cnv2,convnextv2_base.fcmae_ft_in22k_in1k,pseudo1,6,98.94,192,16,0.25,painting+inr_stepB,0.0,0.0,False,
2026-09-10 15:32,C_cnv2L,convnextv2_large.fcmae_ft_in22k_in1k,base,3,99.44,192,16,0.25,painting+inr_cnv2L,0.0,0.0,False,
2026-09-10 15:59,(root/latest),vit_base_patch16_224.mae,base,14,95.07,192,16,0.25,painting+inr_gray_maevit,0.0,0.3,False,
2026-09-10 16:22,(root/latest),vit_base_patch16_224.mae,pseudo1,16,95.84,192,16,0.25,painting+inr_gray_maevit,0.0,0.3,False,
2026-09-10 16:26,D_gray_maevit,vit_base_patch16_224.mae,base,14,95.07,192,16,0.25,painting+inr_gray_maevit,0.0,0.3,False,
2026-09-10 16:26,D_gray_maevit,vit_base_patch16_224.mae,pseudo1,16,95.84,192,16,0.25,painting+inr_gray_maevit,0.0,0.3,False,
2026-09-11 04:47,(root/latest),convnextv2_huge.fcmae_ft_in22k_in1k_384,base,6,98.94,192,10,0.25,painting+inr_cnv2huge,0.0,0.3,False,
2026-09-11 04:51,E_huge,convnextv2_huge.fcmae_ft_in22k_in1k_384,base,6,98.94,192,10,0.25,painting+inr_cnv2huge,0.0,0.3,False,
2026-09-11 08:46,C_cnv2L,convnextv2_large.fcmae_ft_in22k_in1k,pseudo1,7,98.94,192,16,0.25,painting+inr_cnv2L,0.0,0.0,False,
2026-09-11 14:10,seed4242,convnextv2_large.fcmae_ft_in22k_in1k,pseudo1,10,99.08,192,16,0.25,painting+inr_cnv2L,0.0,0.0,False,
2026-09-12 18:39,(root/latest),convnextv2_large.fcmae_ft_in22k_in1k,base,8,99.08,256,16,0.3,painting+inr_trio_bal030,0.0,0.0,False,
2026-09-12 22:43,(root/latest),convnextv2_large.fcmae_ft_in22k_in1k,pseudo1,1,99.08,256,16,0.3,painting+inr_trio_bal030,0.0,0.0,False,
